sale_id,associate_id,region,date,product_sold,number_of_units,sale_amount
1000000,30,East India,2020/05/16,Projector,11,209000
1000001,45,North India,2019/01/17,Digital Camera,11,275000
1000002,73,Central India,2019/11/25,Camera,6,108000
1000003,60,North India,2020/09/13,Apple IPOD,5,25000
1000004,72,Central India,2019/01/13,Apple IPhone,8,152000
1000005,97,Central India,2019/07/10,Apple IPAD,8,280000
1000006,28,South India,2020/05/20,LCD Monitor,9,200061
1000007,84,Central India,2020/05/27,LCD Monitor,3,66687
1000008,52,Central India,2020/06/10,Apple IPhone,6,210000
1000009,59,East India,2020/10/15,Blue-Ray Player,3,187500
1000010,55,East India,2020/07/19,Apple IPAD,3,15000
1000011,84,Central India,2020/09/22,Projector,2,70000
1000012,38,Northeast India,2020/07/29,Apple IPhone,5,95000
1000013,25,South India,2020/06/02,Camera,4,250000
1000014,14,Northeast India,2019/04/14,Blue-Ray Player,7,133000
1000015,89,Western India,2020/08/09,Projector,2,50000
1000016,89,North India,2019/12/21,Camera,9,315000
1000017,65,North India,2019/03/30,Digital Camera,10,50000
1000018,10,Northeast India,2019/12/06,LCD TV,3,15000
1000019,54,South India,2019/04/07,LCD Monitor,3,105000
1000020,49,North India,2020/04/03,Camera,6,375000
1000021,69,Northeast India,2019/05/01,Apple IPhone,7,366800
1000022,92,East India,2019/02/13,Apple IPhone,8,177832
1000023,91,Western India,2020/03/26,LCD TV,6,108000
1000024,41,South India,2019/12/19,Apple IPhone,10,50000
1000025,89,East India,2020/04/19,Apple IPOD,5,95000
1000026,98,Northeast India,2020/01/18,Apple IPOD,9,171000
1000027,43,Central India,2019/06/25,Apple IPhone,4,250000
1000028,88,South India,2019/10/17,Blue-Ray Player,9,562500
1000029,54,Central India,2019/05/20,Apple IPOD,1,5000
1000030,99,Northeast India,2019/10/23,Blue-Ray Player,3,66687
1000031,49,South India,2020/03/22,Apple IPOD,10,625000
1000032,97,Central India,2019/11/04,Digital Camera,6,30000
1000033,46,North India,2020/07/25,LCD Monitor,2,104800
